module_name,variable_name,classification,recommended_action,confidence,reason,update_type,priority,code_files,notes
cost-summary,legacy_display,legacy_or_stale_review,manual_review_before_briefing,medium,Field contains or references legacy terminology and needs explicit keep/migrate/remove decision.,add_implemented_output_contract_to_brief,P1,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
module-reconciliation,has_legacy_running_cost,legacy_or_stale_review,manual_review_before_briefing,medium,Field contains or references legacy terminology and needs explicit keep/migrate/remove decision.,add_implemented_output_contract_to_brief,P1,lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
module-reconciliation,legacy_running_cost_check,legacy_or_stale_review,manual_review_before_briefing,medium,Field contains or references legacy terminology and needs explicit keep/migrate/remove decision.,add_implemented_output_contract_to_brief,P1,lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_detail,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,asset_operator,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,lib\selectors\quickStartSelectors.js,implemented_contract_not_documented_in_brief
assets,asset_outputs,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useRecoverySummary.js,implemented_contract_not_documented_in_brief
assets,asset_overhead_pools,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
assets,asset_recovery_overlay,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
assets,asset_review_required,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
assets,assets,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js,implemented_contract_not_documented_in_brief
assets,general_overheads,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,live_assets,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,output_contract,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,saved_assets,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | lib\selectors\assetSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,active_scenario,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,baseline,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,baseline_snapshot,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js,implemented_contract_not_documented_in_brief
business-modelling,blocked,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,business_modelling_state,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,output_contract,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,summaryBlocked,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-setup,business_setup_state,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessSetup.js,implemented_contract_not_documented_in_brief
business-setup,output_contract,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessSetup.js,implemented_contract_not_documented_in_brief
business-summary,business_summary,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js,implemented_contract_not_documented_in_brief
business-summary,business_summary_usable,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-summary,calculations,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,output_contract,owner_review_required,manual_owner_review_before_briefing,medium,"Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.",add_implemented_output_contract_to_brief,P1,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,people,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,product_based,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
cost-allocation,base_calculation_inputs,owner_review_required,manual_owner_review_before_briefing,low,No strong automated signal. Needs human review before adding to a module brief.,add_implemented_output_contract_to_brief,P1,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
