"module_name","variable_name","current_audit_status","classification","recommended_action","classification_reason","code_files","notes"
"assets","asset_detail","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_operator","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"assets","asset_review_required","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js | lib\selectors\assetSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","active_scenario","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline_snapshot","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","business_modelling_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessSetup.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_usable","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-summary","calculations","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","people","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","product_based","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"cost-allocation","base_calculation_inputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"cost-allocation","fallback_recovery_summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_outputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","lib\calculations\cost-allocation\costAllocationInputBuilder.js","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js","implemented_contract_not_documented_in_brief"
"cost-summary","category_totals","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"cost-summary","cost_summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueSummary.js | lib\audit\buildLiveAuditSnapshotExport.js","implemented_contract_not_documented_in_brief"
"cost-summary","employer_contribution_totals","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"cost-summary","entitlement_totals","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","current_overhead_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js","implemented_contract_not_documented_in_brief"
"general-overheads","system_allocation_amount_overrides","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
