file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,62,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
components\rates\square-metre\SquareMetreRateStatusStrip.jsx,SquareMetreRateStatusStrip.jsx,components,44,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
components\revenue-summary\RevenueSummaryStatusStrip.jsx,RevenueSummaryStatusStrip.jsx,components,46,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
lib\selectors\materialsSelectors.js,materialsSelectors.js,lib,19,is_active,snake_case,snake_case_reference,readiness_field,,"return { profile_active: Boolean(materials_state.is_active ?? true), annual_material_revenue: calculated.annual_material_revenue ?? 0,"
lib\selectors\revenueSummarySelectors.js,revenueSummarySelectors.js,lib,12,is_active,snake_case,snake_case_reference,readiness_field,,"return { profile_active: Boolean(revenue_summary_state.is_active ?? true), current_revenue: calculated.current_revenue ?? 0,"
lib\selectors\squareMetreRateSelectors.js,squareMetreRateSelectors.js,lib,16,is_active,snake_case,snake_case_reference,readiness_field,,"return { profile_active: Boolean(square_metre_rate_state.is_active ?? true), base_rate: calculated.base_rate ?? 0,"
lib\storage\materialsStorage.js,materialsStorage.js,lib,18,is_active,snake_case,object_key,readiness_field,,"effective_from: """", is_active: true, created_at: """","
lib\storage\revenueSummaryStorage.js,revenueSummaryStorage.js,lib,25,is_active,snake_case,object_key,readiness_field,,"effective_from: """", is_active: true, created_at: """","
lib\storage\squareMetreRateStorage.js,squareMetreRateStorage.js,lib,20,is_active,snake_case,object_key,readiness_field,,"effective_from: """", is_active: true, created_at: """","
components\common\SetupNextButton.jsx,SetupNextButton.jsx,components,10,is_blocked,snake_case,declaration,readiness_field,,}) { const is_blocked = gating_enabled && !can_continue;
