"module_name","variable_name","pass_3_review_type","recommended_decision","reviewer_notes","brief_modules_or_files_with_same_variable","code_files","notes"
"business-summary","business_summary_warnings","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"business-summary","business_type","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","cost_burden_breakdown","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","is_product_based","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief | readiness_field"
"p-and-l","total_business_costs","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","10_MIRRA_MODULE_RECONCILIATION_v4.0_LOCKED.txt; 04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cogs","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cost_of_sales","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_direct_costs","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_balance","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","10_MIRRA_MODULE_RECONCILIATION_v4.0_LOCKED.txt; 04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_details","owner_alias_review","add_to_current_module_contract","Confirmed as implemented output emitted by this module. Shared variable name is acceptable because audit requires exact module + variable ownership.","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","components\p-and-l\ProfitAndLossMainCard.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
