"module_name","variable_name","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"labour","build_active_labour_rate_model_for_calculation","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_productive_labour_type_rows","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","cost_allocation","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_based","manual_owner_review_before_briefing","add_to_current_module_contract","Labour-owned output/classification value emitted by the Labour module. Add to Labour output contract.","hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js","implemented_contract_not_documented_in_brief"
"labour","labour_benchmark_total","manual_review_required","add_to_current_module_contract","Labour-owned output/classification value emitted by the Labour module. Add to Labour output contract.","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"labour","labour_data","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_pct","manual_owner_review_before_briefing","add_to_current_module_contract","Labour-owned output/classification value emitted by the Labour module. Add to Labour output contract.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_profiles","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","hooks\useEmployeeOverheads.js","implemented_contract_not_documented_in_brief"
"labour","labour_rate_reality_check","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_value","manual_owner_review_before_briefing","add_to_current_module_contract","Labour-owned output/classification value emitted by the Labour module. Add to Labour output contract.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","productive_labour_types","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","recovery_plan","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, or downstream/upstream shaped data object. Document separately, not as core business metric.","lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","required_labour_class","manual_owner_review_before_briefing","add_to_current_module_contract","Labour-owned output/classification value emitted by the Labour module. Add to Labour output contract.","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","safe_array","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
