"module_name","variable_name","current_audit_status","classification","recommended_action","classification_reason","code_files","notes"
"assets","asset_detail","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_operator","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"assets","asset_review_required","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useAssets.js | lib\selectors\assetSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","active_scenario","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline_snapshot","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","business_modelling_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryWarnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field appears to carry warning state consumed by the UI or downstream modules.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_output_contract","code_only_not_in_brief","accept_reference_wrapper","document_as_reference_wrapper_not_business_metric","Field appears to be a named module output contract wrapper consumed by another module.","hooks\useRevenueCogs.js | hooks\useRevenueReality.js","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessSetup.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_usable","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_warnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"business-summary","business_type","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","calculations","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","cost_burden_breakdown","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","is_product_based","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief | readiness_field"
"business-summary","people","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","product_based","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","ready","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field appears to carry module readiness state.","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief"
"cost-allocation","base_calculation_inputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","No strong automated signal. Needs human review before adding to a module brief.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","build_cost_allocation_output_contract","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","Field appears to be a wrapper, state object, or cross-module reference rather than a direct metric.","app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation_contract","code_only_not_in_brief","accept_reference_wrapper","document_as_reference_wrapper_not_business_metric","Field appears to be a named module output contract wrapper consumed by another module.","app\recovery-outcome\page.jsx","implemented_contract_not_documented_in_brief"
