module_name,variable_name,classification,recommended_action,confidence,reason,update_type,priority,code_files,notes
p-and-l,good,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
p-and-l,label,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
p-and-l,Ready,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
p-and-l,tone,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
p-and-l,value,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
p-and-l,warn,display_only_do_not_brief,reject_from_output_contract_brief,high,Field appears to be a UI display/status presentation token rather than a module output contract.,add_implemented_output_contract_to_brief,P1,components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js,implemented_contract_not_documented_in_brief
assets,build_asset_recovery_overlay,internal_helper_do_not_brief,reject_from_output_contract_brief,high,"Field appears to be an internal helper, utility, formatter, selector helper, or builder function.",add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,safe_array,internal_helper_do_not_brief,reject_from_output_contract_brief,high,"Field appears to be an internal helper, utility, formatter, selector helper, or builder function.",add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,safe_number,internal_helper_do_not_brief,reject_from_output_contract_brief,high,"Field appears to be an internal helper, utility, formatter, selector helper, or builder function.",add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
cost-allocation,build_cost_allocation_output_contract,internal_helper_do_not_brief,reject_from_output_contract_brief,high,"Field appears to be an internal helper, utility, formatter, selector helper, or builder function.",add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
