"module_name","variable_name","current_audit_status","classification","recommended_action","classification_reason","code_files","notes"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"cost-allocation","build_cost_allocation_output_contract","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"general-overheads","actions","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","components\general-overheads\GeneralOverheadSummaryCard.jsx","implemented_contract_not_documented_in_brief"
"labour","build_active_labour_rate_model_for_calculation","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
