"module_name","variable_name","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"p-and-l","build_general_overheads_from_pnl","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","good","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","label","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","pnl_sync_signature","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useRevenueCogs.js","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss_state","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","hooks\useGeneralOverheads.js | hooks\useProfitAndLoss.js","implemented_contract_not_documented_in_brief"
"p-and-l","Ready","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","reconciliation","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","state","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","hooks\useProfitAndLoss.js | lib\storage\profitAndLossProfileStorage.js","implemented_contract_not_documented_in_brief"
"p-and-l","summary","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","tone","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_other_income","manual_review_required","add_to_current_module_contract","Real P&L commercial value emitted by P&L. Add to P&L output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","value","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","variance","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper/state/reconciliation object. Document separately if needed, but do not treat as core business metric.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warn","reject_from_output_contract_brief","reject_helper_or_display_only","Function, UI token, display helper, label, or status word. Do not include in formal output contract.","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warnings","add_to_v5_module_brief_output_contract","add_to_current_module_contract","Standard module warning output. Add to P&L output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
