"module_name","variable_name","pass_4_decision","reviewer_notes"
"recovery-summary","recovery_summary","document_as_reference_wrapper","Recovery Summary wrapper/state object. Document separately, not as core business metric."
"recovery-summary","recovery_summary_contract","document_as_reference_wrapper","Recovery Summary output contract wrapper. Document separately as a contract/reference object."
"module-reconciliation","has_legacy_running_cost","add_to_current_module_contract","Module Reconciliation-owned legacy running-cost status/check output. Add to output contract."
"module-reconciliation","legacy_running_cost_check","add_to_current_module_contract","Module Reconciliation-owned legacy running-cost check output. Add to output contract."
"cost-summary","cost_summary","document_as_reference_wrapper","Cost Summary wrapper/state object. Document separately, not as core business metric."
"cost-summary","legacy_display","document_as_reference_wrapper","Legacy display reference. Document separately, not as core business metric."
"business-setup","business_setup_output_contract","document_as_reference_wrapper","Business Setup output contract wrapper. Document separately as a contract/reference object."
"business-setup","business_setup_state","document_as_reference_wrapper","Business Setup state wrapper. Document separately, not as core business metric."
"revenue-reality","business_setup","document_as_reference_wrapper","Upstream Business Setup reference object. Document separately, not as Revenue Reality business metric."
"revenue-reality","calculations","document_as_reference_wrapper","Calculation wrapper object. Document separately, not as core business metric."
"model-readiness","model_readiness","document_as_reference_wrapper","Model Readiness wrapper/state object. Document separately, not as core business metric."
