module_name,variable_name,decision,notes
assets,asset_detail,document_as_reference_wrapper,"Asset detail object/wrapper; not a standalone business output metric."
assets,asset_outputs,document_as_reference_wrapper,"Asset outputs wrapper object; not a standalone output contract field."
assets,asset_overhead_pools,document_as_reference_wrapper,"Asset overhead pool wrapper/reference object."
assets,asset_recovery_overlay,document_as_reference_wrapper,"Asset recovery overlay object; not a core output metric."
assets,assets,document_as_reference_wrapper,"Module/state wrapper."
assets,build_asset_recovery_overlay,reject_helper_or_display_only,"Build/helper function; not an output contract field."
assets,general_overheads,document_as_reference_wrapper,"Upstream/reference object; not asset-owned metric."
assets,live_assets,document_as_reference_wrapper,"State/list wrapper."
assets,safe_array,reject_helper_or_display_only,"Utility helper."
assets,safe_number,reject_helper_or_display_only,"Utility helper."
assets,saved_assets,document_as_reference_wrapper,"Saved-state wrapper."
business-modelling,baseline,add_to_current_module_contract,"True business-modelling scenario output/state field."
business-modelling,blocked,add_to_current_module_contract,"True business-modelling readiness/blocking output."
business-modelling,business_modelling_state,document_as_reference_wrapper,"Module state wrapper."
business-modelling,summaryBlocked,add_to_current_module_contract,"True business-modelling summary blocking output."
business-modelling,summaryWarnings,add_to_current_module_contract,"True business-modelling summary warning output."
business-setup,business_setup_output_contract,document_as_reference_wrapper,"Module output contract wrapper."
business-setup,business_setup_state,document_as_reference_wrapper,"Module state wrapper."
business-summary,business_summary,document_as_reference_wrapper,"Module wrapper."
business-summary,calculations,document_as_reference_wrapper,"Calculation wrapper/object."
business-summary,people,document_as_reference_wrapper,"Nested summary object."
business-summary,ready,add_to_current_module_contract,"True business-summary readiness output."
cost-allocation,build_cost_allocation_output_contract,reject_helper_or_display_only,"Build/helper function."
cost-allocation,cost_allocation,document_as_reference_wrapper,"Module wrapper."
cost-allocation,cost_allocation_contract,document_as_reference_wrapper,"Contract wrapper object."
cost-allocation,recovery_summary,document_as_reference_wrapper,"Upstream/reference object."
cost-summary,cost_summary,document_as_reference_wrapper,"Module wrapper."
cost-summary,legacy_display,document_as_reference_wrapper,"Legacy display wrapper."
general-overheads,actions,document_as_reference_wrapper,"Action wrapper."
general-overheads,allocation_outputs,document_as_reference_wrapper,"Allocation output wrapper object."
general-overheads,build_general_overhead_allocation_outputs,reject_helper_or_display_only,"Build/helper function."
general-overheads,current_overhead_state,document_as_reference_wrapper,"State wrapper."
general-overheads,employee_overheads_check,document_as_reference_wrapper,"Check/reference wrapper."
general-overheads,general_overheads,document_as_reference_wrapper,"Module wrapper."
general-overheads,overhead_state,document_as_reference_wrapper,"State wrapper."
general-overheads,pool_key,document_as_reference_wrapper,"Pool reference key; not standalone business metric."
labour,build_active_labour_rate_model_for_calculation,reject_helper_or_display_only,"Build/helper function."
labour,build_all_labour_type_rows,reject_helper_or_display_only,"Build/helper function."
labour,build_cost_allocation_output_contract,reject_helper_or_display_only,"Build/helper function."
labour,build_labour_rate_result_metrics,reject_helper_or_display_only,"Build/helper function."
labour,build_labour_type_rows_by_class,reject_helper_or_display_only,"Build/helper function."
labour,build_productive_labour_type_rows,reject_helper_or_display_only,"Build/helper function."
labour,build_support_labour_type_rows,reject_helper_or_display_only,"Build/helper function."
labour,cost_allocation,document_as_reference_wrapper,"Downstream/reference wrapper."
labour,get_nested_value,reject_helper_or_display_only,"Utility helper."
labour,labour,document_as_reference_wrapper,"Module wrapper."
labour,labour_data,document_as_reference_wrapper,"Data/state wrapper."
labour,labour_profiles,document_as_reference_wrapper,"Saved profile wrapper."
labour,labour_rate_reality_check,document_as_reference_wrapper,"Check/result wrapper."
labour,productive_labour_types,document_as_reference_wrapper,"Nested list/reference object."
labour,recovery_plan,document_as_reference_wrapper,"Recovery plan wrapper/reference object."
labour,safe_array,reject_helper_or_display_only,"Utility helper."
model-readiness,model_readiness,document_as_reference_wrapper,"Module wrapper."
p-and-l,build_general_overheads_from_pnl,reject_helper_or_display_only,"Build/helper function."
p-and-l,build_pnl_sync_signature,reject_helper_or_display_only,"Build/helper function."
p-and-l,build_reconciliation,reject_helper_or_display_only,"Build/helper function."
p-and-l,build_unassigned_details,reject_helper_or_display_only,"Build/helper function."
p-and-l,build_warnings,reject_helper_or_display_only,"Build/helper function."
p-and-l,format_number,reject_helper_or_display_only,"Formatting helper."
p-and-l,good,reject_helper_or_display_only,"Display/status token."
p-and-l,pnl_sync_signature,document_as_reference_wrapper,"Sync/signature wrapper."
p-and-l,profit_and_loss,document_as_reference_wrapper,"Module/source wrapper."
p-and-l,profit_and_loss_state,document_as_reference_wrapper,"State wrapper."
p-and-l,Ready,reject_helper_or_display_only,"Display/status token; not a field name to contract."
p-and-l,reconciliation,document_as_reference_wrapper,"Reconciliation wrapper."
p-and-l,state,document_as_reference_wrapper,"Generic state wrapper."
p-and-l,summary,document_as_reference_wrapper,"Summary wrapper."
p-and-l,tone,reject_helper_or_display_only,"Display/status token."
p-and-l,variance,document_as_reference_wrapper,"Variance wrapper; not a standalone P&L-owned metric here."
p-and-l,warn,reject_helper_or_display_only,"Display/status token."
p-and-l,warnings,add_to_current_module_contract,"True P&L warning output."
quick-start,label,reject_helper_or_display_only,"Generic display label."
quick-start,perfectly,reject_helper_or_display_only,"Display wording/state label."
quick-start,realistically,reject_helper_or_display_only,"Display wording/state label."
quick-start,value,reject_helper_or_display_only,"Generic display value."
recovery-summary,recovery_summary,document_as_reference_wrapper,"Module wrapper."
recovery-summary,recovery_summary_contract,document_as_reference_wrapper,"Contract wrapper object."
revenue-cogs,business_setup,document_as_reference_wrapper,"Upstream/reference wrapper."
revenue-cogs,calculations,document_as_reference_wrapper,"Calculation wrapper/object."
revenue-cogs,revenue_cogs,document_as_reference_wrapper,"Module wrapper."
revenue-cogs,revenue_cogs_state,document_as_reference_wrapper,"State wrapper."
revenue-reality,business_setup,document_as_reference_wrapper,"Upstream/reference wrapper."
revenue-reality,calculations,document_as_reference_wrapper,"Calculation wrapper/object."
