module_name,variable_name,classification,recommended_action,confidence,reason,update_type,priority,code_files,notes
assets,active_assets,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useAssets.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_finance_benchmark_total,accept_contract_field,add_to_v5_module_brief_output_contract,medium,"Field suffix indicates a likely contract output such as total, status, warning, cost, rate, hours, or row array.",add_implemented_output_contract_to_brief,P1,lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_interest_annual,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_overhead_pool_assignment_summary,accept_contract_field,add_to_v5_module_brief_output_contract,medium,"Field suffix indicates a likely contract output such as total, status, warning, cost, rate, hours, or row array.",add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,asset_related_unassigned_cost,accept_contract_field,add_to_v5_module_brief_output_contract,medium,"Field suffix indicates a likely contract output such as total, status, warning, cost, rate, hours, or row array.",add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
assets,asset_status,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,components\assets\AssetForm.jsx | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief | status_field
assets,assets_benchmark_total,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,implemented_contract_not_documented_in_brief
assets,assigned_asset_overhead_cost,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,assigned_asset_overhead_cost_annual,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,base_asset_cost_annual,accept_contract_field,add_to_v5_module_brief_output_contract,high,Field is a named business/status/readiness/financial/hour/recovery output used by code.,add_implemented_output_contract_to_brief,P1,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
