"module_name","variable_name","pass_4_decision","reviewer_notes","code_files","notes"
"general-overheads","actions","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","reject_helper_or_display_only","Builder function. Do not include in formal output contract.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","current_overhead_state","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads_benchmark_total","add_to_current_module_contract","General Overheads-owned output/configuration value emitted by the module. Add to output contract.","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","document_as_reference_wrapper","Wrapper, state, action, allocation reference, or shaped object. Document separately, not as core business metric.","components\general-overheads\GeneralOverheadSummaryCard.jsx","implemented_contract_not_documented_in_brief"
"general-overheads","system_allocation_amount_overrides","add_to_current_module_contract","General Overheads-owned output/configuration value emitted by the module. Add to output contract.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
