"module_name","variable_name","audit_status","same_variable_exists_in_brief","brief_lookup_column_used","brief_modules_or_files_with_same_variable","pass_3_review_type","recommended_decision","reviewer_notes","code_files","notes"
"business-summary","business_summary_warnings","code_only_not_in_brief","yes","file_path","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","owner_alias_review","","","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"business-summary","business_type","code_only_not_in_brief","yes","file_path","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","cost_burden_breakdown","code_only_not_in_brief","yes","file_path","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","owner_alias_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","is_product_based","code_only_not_in_brief","yes","file_path","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief | readiness_field"
"p-and-l","total_business_costs","code_only_not_in_brief","yes","file_path","10_MIRRA_MODULE_RECONCILIATION_v4.0_LOCKED.txt; 04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","owner_alias_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cogs","code_only_not_in_brief","yes","file_path","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cost_of_sales","code_only_not_in_brief","yes","file_path","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","owner_alias_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_direct_costs","code_only_not_in_brief","yes","file_path","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_balance","code_only_not_in_brief","yes","file_path","10_MIRRA_MODULE_RECONCILIATION_v4.0_LOCKED.txt; 04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","owner_alias_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_details","code_only_not_in_brief","yes","file_path","04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt","owner_alias_review","","","components\p-and-l\ProfitAndLossMainCard.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
