file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,48,annual_material_cost,snake_case,snake_case_reference,warning_id,,"if (annual_material_cost <= 0) { warnings.push(""Cost missing"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,52,annual_material_cost,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue === 0 && annual_material_cost === 0) { warnings.push(""No material inputs entered"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,44,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue <= 0) { warnings.push(""Revenue missing"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,52,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue === 0 && annual_material_cost === 0) { warnings.push(""No material inputs entered"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,56,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue > 0 && material_margin_annual < 0) { warnings.push(""Negative material margin"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,60,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue > 0 && material_margin_annual === 0) { warnings.push(""Zero material margin"");"
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,63,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
components\rates\square-metre\SquareMetreRateStatusStrip.jsx,SquareMetreRateStatusStrip.jsx,components,45,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
components\revenue-summary\RevenueSummaryStatusStrip.jsx,RevenueSummaryStatusStrip.jsx,components,47,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
lib\calculations\squareMetreRateCalculations.js,squareMetreRateCalculations.js,lib,42,base_square_metre_rate,snake_case,snake_case_reference,warning_id,,"if (base_square_metre_rate <= 0) { warnings.push(""Base rate missing"");"
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,26,cost_entered,snake_case,snake_case_reference,warning_id,,"revenue_entered = false, cost_entered = false, warning_count = 0,"
lib\selectors\materialsSelectors.js,materialsSelectors.js,lib,26,cost_entered,snake_case,snake_case_reference,warning_id,,"revenue_entered, cost_entered, warning_count: Array.isArray(calculated.warnings)"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,136,cost_of_sales_mapping_variance,snake_case,object_key,warning_id,,"), cost_of_sales_mapping_variance: roundMoney( getValue(explainedVariance, ""cost_of_sales_mapping_variance"", 0)"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,137,cost_of_sales_mapping_variance,snake_case,warning_id,warning_id,,"cost_of_sales_mapping_variance: roundMoney( getValue(explainedVariance, ""cost_of_sales_mapping_variance"", 0) ),"
lib\calculations\recoveryAnalysisCalculations.js,recoveryAnalysisCalculations.js,lib,116,cost_reduction_required_at_current_rates,snake_case,warning_id,warning_id,,"extra_hours_required_at_current_rates, cost_reduction_required_at_current_rates, required_average_rate_increase,"
lib\calculations\recoveryAnalysisCalculations.js,recoveryAnalysisCalculations.js,lib,62,cost_reduction_required_at_current_rates,snake_case,declaration,warning_id,,const cost_reduction_required_at_current_rates = shortfall_amount;
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,62,cost_reduction_required_at_current_rates,snake_case,object_key,warning_id,,"cost_reduction_required_at_current_rates: recovery_analysis.cost_reduction_required_at_current_rates,"
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,63,cost_reduction_required_at_current_rates,snake_case,warning_id,warning_id,,"cost_reduction_required_at_current_rates: recovery_analysis.cost_reduction_required_at_current_rates, cost_reduction_required_at_current_rates_display: formatMoney("
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,65,cost_reduction_required_at_current_rates,snake_case,warning_id,warning_id,,"cost_reduction_required_at_current_rates_display: formatMoney( recovery_analysis.cost_reduction_required_at_current_rates ),"
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,64,cost_reduction_required_at_current_rates_display,snake_case,object_key,warning_id,,"recovery_analysis.cost_reduction_required_at_current_rates, cost_reduction_required_at_current_rates_display: formatMoney( recovery_analysis.cost_reduction_required_at_current_rates"
lib\calculations\revenueSummaryCalculations.js,revenueSummaryCalculations.js,lib,146,current_revenue,snake_case,snake_case_reference,warning_id,,"if (required_revenue > 0 && current_revenue < required_revenue) { warnings.push(""Current revenue is below required revenue"");"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,127,depreciation_exclusion_variance,snake_case,object_key,warning_id,,"), depreciation_exclusion_variance: roundMoney( getValue(explainedVariance, ""depreciation_exclusion_variance"", 0)"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,128,depreciation_exclusion_variance,snake_case,warning_id,warning_id,,"depreciation_exclusion_variance: roundMoney( getValue(explainedVariance, ""depreciation_exclusion_variance"", 0) ),"
lib\calculations\squareMetreRateCalculations.js,squareMetreRateCalculations.js,lib,46,expected_annual_square_metres,snake_case,snake_case_reference,warning_id,,"if (expected_annual_square_metres <= 0) { warnings.push(""Annual volume missing"");"
components\rates\square-metre\SquareMetreRateMainCard.jsx,SquareMetreRateMainCard.jsx,components,41,expected_recovery_contribution,snake_case,snake_case_reference,warning_id,,"expected_revenue_annual = 0, expected_recovery_contribution = 0, warnings = [],"
lib\selectors\squareMetreRateSelectors.js,squareMetreRateSelectors.js,lib,57,expected_recovery_contribution,snake_case,snake_case_reference,warning_id,,"expected_recovery_contribution: calculated.expected_recovery_contribution ?? 0, warnings: calculated.warnings ?? [],"
lib\selectors\squareMetreRateSelectors.js,squareMetreRateSelectors.js,lib,6,expected_revenue_annual,snake_case,snake_case_reference,warning_id,,"if ((calculated.expected_revenue_annual ?? 0) <= 0) return ""bad""; if (warning_count > 1) return ""ok"";"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,169,explained_variance,snake_case,object_key,warning_id,,"explained_variance: buildExplainedVarianceBlock(explainedVariance),"
lib\calculations\recoveryAnalysisCalculations.js,recoveryAnalysisCalculations.js,lib,115,extra_hours_required_at_current_rates,snake_case,warning_id,warning_id,,"shortfall_amount, extra_hours_required_at_current_rates, cost_reduction_required_at_current_rates,"
lib\calculations\recoveryAnalysisCalculations.js,recoveryAnalysisCalculations.js,lib,57,extra_hours_required_at_current_rates,snake_case,declaration,warning_id,,const extra_hours_required_at_current_rates = shortfall_amount > 0 && weighted_achievable_rate > 0
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,56,extra_hours_required_at_current_rates,snake_case,object_key,warning_id,,"extra_hours_required_at_current_rates: recovery_analysis.extra_hours_required_at_current_rates,"
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,57,extra_hours_required_at_current_rates,snake_case,warning_id,warning_id,,"extra_hours_required_at_current_rates: recovery_analysis.extra_hours_required_at_current_rates, extra_hours_required_at_current_rates_display: formatHours("
lib\selectors\recoveryAnalysisSelectors.js,recoveryAnalysisSelectors.js,lib,59,extra_hours_required_at_current_rates,snake_case,warning_id,warning_id,,"extra_hours_required_at_current_rates_display: formatHours( recovery_analysis.extra_hours_required_at_current_rates ),"
