module_name,variable_name,update_type,recommended_action,priority,reason,code_files,notes
assets,active_assets,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useAssets.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_detail,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,asset_finance_benchmark_total,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_interest_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_operator,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\quickStartSelectors.js,implemented_contract_not_documented_in_brief
assets,asset_output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,asset_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRecoverySummary.js,implemented_contract_not_documented_in_brief
assets,asset_overhead_pool_assignment_summary,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,asset_overhead_pools,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
assets,asset_recovery_overlay,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
assets,asset_related_unassigned_cost,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
assets,asset_review_required,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
