"module_name","variable_name","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"assets","asset_detail","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_operator","manual_owner_review_before_briefing","add_to_current_module_contract","Asset-owned output/status field emitted by the Assets module. Add to Assets output contract.","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"assets","asset_review_required","manual_owner_review_before_briefing","add_to_current_module_contract","Asset-owned output/status field emitted by the Assets module. Add to Assets output contract.","hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","assets","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","general_overheads","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","live_assets","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","safe_array","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_number","reject_from_output_contract_brief","reject_helper_or_display_only","Builder function or safe-access helper. Do not include in formal output contract.","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","saved_assets","manual_owner_review_before_briefing","document_as_reference_wrapper","Wrapper, state object, register reference, overlay, or upstream shaped data object. Document separately, not as core business metric.","hooks\useAssets.js | lib\selectors\assetSelectors.js","implemented_contract_not_documented_in_brief"
